curriculum_years,major_name,학과,category,course_code,course_name_ko,course_name_en,credit,grade_semester
"2023, 2024, 2026",Business Administration,경영학과,전공기초,DB1600346,경영학원론,Principles Of Management,3,1-1
"2023, 2024, 2026",Business Administration,경영학과,전공기초,DB1600351,경영통계학,Business Statistics,3,1-2
"2023, 2024, 2026",Business Administration,경영학과,전공기초,DB1600357,경제학원론,Principles Of Economics,3,1-1
"2023, 2024, 2026",Business Administration,경영학과,전공기초,DB1600358,회계학원리,Principles Of Accounting,3,1-2
"2023, 2024, 2026",Business Administration,경영학과,전공필수,DB3000711,재무회계(I),Financial Accounting (I),3,2-1
"2023, 2024, 2026",Business Administration,경영학과,전공필수,DB3000924,투자론,Investment,3,3-1
"2023, 2024, 2026",Business Administration,경영학과,전공필수,DB3000927,관리회계,Management Accounting,3,3-2
"2023, 2024, 2026",Business Administration,경영학과,전공필수,DB3000928,마케팅관리,Marketing Management,3,2-1
"2023, 2024, 2026",Business Administration,경영학과,전공필수,DB3000932,재무관리,Financial Management,3,2-2
"2023, 2024, 2026",Business Administration,경영학과,전공필수,DB3000933,인적자원관리,Human Resource Management,3,2-2
"2023, 2024, 2026",Business Administration,경영학과,전공필수,DB3000934,국제경영학,International Business,3,3-2
"2023, 2024, 2026",Business Administration,경영학과,전공필수,DB3100231,경영정보시스템,Management Information Systems,3,3-1
"2023, 2024, 2026",Business Administration,경영학과,전공필수,DB3400701,오퍼레이션스 매니지먼트,Operations Management,3,2-1
2026,Business Administration,경영학과,전공선택,DB2001022,재무회계연습,Financial Accounting Exercise,3,3-2
2026,Business Administration,경영학과,전공선택,DB2001260,금융데이터마이닝,Financial Data Mining,3,3-2
"2024, 2026",Business Administration,경영학과,전공선택,DB2001261,경영의세계사,Business History,3,2-1
2026,Business Administration,경영학과,전공선택,DB2001278,금융빅데이터분석,Financial Big Data Analysis,3,4-1
2026,Business Administration,경영학과,전공선택,DB2001475,회계빅데이터분석,Accounting Big-Data Analysis,3,4-1
2026,Business Administration,경영학과,전공선택,DB2001476,재무관리특강,Seminar in Financial Management,3,4-1
"2024, 2026",Business Administration,경영학과,전공선택,DB2001800,회계관리,Accounting Management,3,2-여름도약
2026,Business Administration,경영학과,전공선택,DB2001869,비즈니스모델링,Business Decision Modeling,3,3-2
"2024, 2026",Business Administration,경영학과,전공선택,DB2002279,고객관계관리와인공지능,Customer Relationship Management And AI,3,3-1
2026,Business Administration,경영학과,전공선택,DB2002531,자산관리캡스톤디자인,Asset Management Capstone Design,3,3-2
2026,Business Administration,경영학과,전공선택,DB2003064,빅테크기업과인공지능,Big Tech and AI,3,3-1
2026,Business Administration,경영학과,전공선택,DB2003066,AI비즈니스,AI Business,3,3-2
"2023, 2024, 2026",Business Administration,경영학과,전공선택,DB3000708,다국적기업관리론,Multinational Corporation Management,3,3-1
"2023, 2024, 2026",Business Administration,경영학과,전공선택,DB3000773,외환관리론,Foreign Exchange Management,3,2-2
2026,Business Administration,경영학과,전공선택,DB3000786,글로벌시장조사론,Global Market Research,3,3-2
2026,Business Administration,경영학과,전공선택,DB3000788,프로젝트관리,Project Management,3,3-1
"2023, 2024, 2026",Business Administration,경영학과,전공선택,DB3000789,기업윤리와 사회적책임,Corporate Ethics & Social Responsibility,3,2-1
"2023, 2024, 2026",Business Administration,경영학과,전공선택,DB3000929,재무회계(II),Financial Accounting (II),3,2-2
"2023, 2024, 2026",Business Administration,경영학과,전공선택,DB3000966,상법,Commercial Law,3,2-1
"2023, 2024, 2026",Business Administration,경영학과,전공선택,DB3000967,증권시장론,Securities Market,3,2-1
